residue,rank,gap,share
1,1,4,0.2075452459852154
1,2,10,0.18044863624776955
1,3,6,0.17091511598266632
1,4,12,0.1024725975019118
1,5,16,0.07343869487637013
5,1,2,0.20800753890431195
5,2,6,0.17431169294246493
5,3,8,0.14183837200417695
5,4,14,0.10781142551511601
5,5,12,0.10149504622672745
