residue,count,observed_share,expected_share_1_over_phi_q,deviation
1,9806,0.1249394796524221,0.125,-6.0520347577905365e-05
7,9811,0.12500318528145146,0.125,3.1852814514621297e-06
11,9809,0.12497770302983972,0.125,-2.229697016027654e-05
13,9823,0.12515607879112198,0.125,0.00015607879112197742
17,9808,0.12496496190403385,0.125,-3.5038095966152816e-05
19,9787,0.12469739826211045,0.125,-0.0003026017378895546
23,9838,0.12534719567821012,0.125,0.00034719567821012154
29,9804,0.12491399740081034,0.125,-8.600259918965791e-05
