this_class,next_class,observed_share,expected_share,relative_deviation,same_class
1,1,0.20885938873530124,0.25,-0.16456244505879503,True
1,5,0.29093040143707083,0.25,0.16372160574828332,False
5,1,0.29093040143707083,0.25,0.16372160574828332,False
5,5,0.20927980839055713,0.25,-0.1628807664377715,True
