p,gap,res_mod30,next_res_mod30
2,1,2,3
3,2,3,5
5,2,5,7
7,4,7,11
11,2,11,13
13,4,13,17
17,2,17,19
19,4,19,23
23,6,23,29
29,2,29,1
31,6,1,7
37,4,7,11
41,2,11,13
43,4,13,17
47,6,17,23
53,6,23,29
59,2,29,1
61,6,1,7
67,4,7,11
71,2,11,13
73,6,13,19
79,4,19,23
83,6,23,29
89,8,29,7
97,4,7,11
101,2,11,13
103,4,13,17
107,2,17,19
109,4,19,23
113,14,23,7
127,4,7,11
131,6,11,17
137,2,17,19
139,10,19,29
149,2,29,1
151,6,1,7
157,6,7,13
163,4,13,17
167,6,17,23
173,6,23,29
179,2,29,1
181,10,1,11
191,2,11,13
193,4,13,17
197,2,17,19
199,12,19,1
211,12,1,13
223,4,13,17
227,2,17,19
229,4,19,23
233,6,23,29
239,2,29,1
241,10,1,11
251,6,11,17
257,6,17,23
263,6,23,29
269,2,29,1
271,6,1,7
277,4,7,11
281,2,11,13
283,10,13,23
293,14,23,7
307,4,7,11
311,2,11,13
313,4,13,17
317,14,17,1
331,6,1,7
337,10,7,17
347,2,17,19
349,4,19,23
353,6,23,29
359,8,29,7
367,6,7,13
373,6,13,19
379,4,19,23
383,6,23,29
389,8,29,7
397,4,7,11
401,8,11,19
409,10,19,29
419,2,29,1
421,10,1,11
431,2,11,13
433,6,13,19
439,4,19,23
443,6,23,29
449,8,29,7
457,4,7,11
461,2,11,13
463,4,13,17
467,12,17,29
479,8,29,7
487,4,7,11
491,8,11,19
499,4,19,23
503,6,23,29
509,12,29,11
521,2,11,13
523,18,13,1
541,6,1,7
547,10,7,17
557,6,17,23
563,6,23,29
569,2,29,1
571,6,1,7
577,10,7,17
587,6,17,23
593,6,23,29
599,2,29,1
601,6,1,7
607,6,7,13
613,4,13,17
617,2,17,19
619,12,19,1
631,10,1,11
641,2,11,13
643,4,13,17
647,6,17,23
653,6,23,29
659,2,29,1
661,12,1,13
673,4,13,17
677,6,17,23
683,8,23,1
691,10,1,11
701,8,11,19
709,10,19,29
719,8,29,7
727,6,7,13
733,6,13,19
739,4,19,23
743,8,23,1
751,6,1,7
757,4,7,11
761,8,11,19
769,4,19,23
773,14,23,7
787,10,7,17
797,12,17,29
809,2,29,1
811,10,1,11
821,2,11,13
823,4,13,17
827,2,17,19
829,10,19,29
839,14,29,13
853,4,13,17
857,2,17,19
859,4,19,23
863,14,23,7
877,4,7,11
881,2,11,13
883,4,13,17
887,20,17,7
907,4,7,11
911,8,11,19
919,10,19,29
929,8,29,7
937,4,7,11
941,6,11,17
947,6,17,23
953,14,23,7
967,4,7,11
971,6,11,17
977,6,17,23
983,8,23,1
991,6,1,7
997,12,7,19
1009,4,19,23
1013,6,23,29
1019,2,29,1
1021,10,1,11
1031,2,11,13
1033,6,13,19
1039,10,19,29
1049,2,29,1
1051,10,1,11
1061,2,11,13
1063,6,13,19
1069,18,19,7
1087,4,7,11
1091,2,11,13
1093,4,13,17
1097,6,17,23
1103,6,23,29
1109,8,29,7
1117,6,7,13
1123,6,13,19
1129,22,19,11
1151,2,11,13
1153,10,13,23
1163,8,23,1
1171,10,1,11
1181,6,11,17
1187,6,17,23
1193,8,23,1
1201,12,1,13
1213,4,13,17
1217,6,17,23
1223,6,23,29
1229,2,29,1
1231,6,1,7
1237,12,7,19
1249,10,19,29
1259,18,29,17
1277,2,17,19
1279,4,19,23
1283,6,23,29
1289,2,29,1
1291,6,1,7
1297,4,7,11
1301,2,11,13
1303,4,13,17
1307,12,17,29
1319,2,29,1
1321,6,1,7
1327,34,7,11
1361,6,11,17
1367,6,17,23
1373,8,23,1
1381,18,1,19
1399,10,19,29
1409,14,29,13
1423,4,13,17
1427,2,17,19
1429,4,19,23
1433,6,23,29
1439,8,29,7
1447,4,7,11
1451,2,11,13
1453,6,13,19
1459,12,19,1
1471,10,1,11
1481,2,11,13
1483,4,13,17
1487,2,17,19
1489,4,19,23
1493,6,23,29
1499,12,29,11
1511,12,11,23
1523,8,23,1
1531,12,1,13
1543,6,13,19
1549,4,19,23
1553,6,23,29
1559,8,29,7
1567,4,7,11
1571,8,11,19
1579,4,19,23
1583,14,23,7
1597,4,7,11
1601,6,11,17
1607,2,17,19
1609,4,19,23
1613,6,23,29
1619,2,29,1
1621,6,1,7
1627,10,7,17
1637,20,17,7
1657,6,7,13
1663,4,13,17
1667,2,17,19
1669,24,19,13
1693,4,13,17
1697,2,17,19
1699,10,19,29
1709,12,29,11
1721,2,11,13
1723,10,13,23
1733,8,23,1
1741,6,1,7
1747,6,7,13
1753,6,13,19
1759,18,19,7
1777,6,7,13
1783,4,13,17
1787,2,17,19
1789,12,19,1
1801,10,1,11
1811,12,11,23
1823,8,23,1
1831,16,1,17
1847,14,17,1
1861,6,1,7
1867,4,7,11
1871,2,11,13
1873,4,13,17
1877,2,17,19
1879,10,19,29
1889,12,29,11
1901,6,11,17
1907,6,17,23
1913,18,23,11
1931,2,11,13
1933,16,13,29
1949,2,29,1
1951,22,1,23
1973,6,23,29
1979,8,29,7
1987,6,7,13
1993,4,13,17
1997,2,17,19
1999,4,19,23
2003,8,23,1
2011,6,1,7
2017,10,7,17
2027,2,17,19
2029,10,19,29
2039,14,29,13
2053,10,13,23
2063,6,23,29
2069,12,29,11
2081,2,11,13
2083,4,13,17
2087,2,17,19
2089,10,19,29
2099,12,29,11
2111,2,11,13
2113,16,13,29
2129,2,29,1
2131,6,1,7
2137,4,7,11
2141,2,11,13
2143,10,13,23
2153,8,23,1
2161,18,1,19
2179,24,19,13
2203,4,13,17
2207,6,17,23
2213,8,23,1
2221,16,1,17
2237,2,17,19
2239,4,19,23
2243,8,23,1
2251,16,1,17
2267,2,17,19
2269,4,19,23
2273,8,23,1
2281,6,1,7
2287,6,7,13
2293,4,13,17
2297,12,17,29
2309,2,29,1
2311,22,1,23
2333,6,23,29
2339,2,29,1
2341,6,1,7
2347,4,7,11
2351,6,11,17
2357,14,17,1
2371,6,1,7
2377,4,7,11
2381,2,11,13
2383,6,13,19
2389,4,19,23
2393,6,23,29
2399,12,29,11
2411,6,11,17
2417,6,17,23
2423,14,23,7
2437,4,7,11
2441,6,11,17
2447,12,17,29
2459,8,29,7
2467,6,7,13
2473,4,13,17
2477,26,17,13
2503,18,13,1
2521,10,1,11
2531,8,11,19
2539,4,19,23
2543,6,23,29
2549,2,29,1
2551,6,1,7
2557,22,7,29
2579,12,29,11
2591,2,11,13
2593,16,13,29
2609,8,29,7
2617,4,7,11
2621,12,11,23
2633,14,23,7
2647,10,7,17
2657,2,17,19
2659,4,19,23
2663,8,23,1
2671,6,1,7
2677,6,7,13
2683,4,13,17
2687,2,17,19
2689,4,19,23
2693,6,23,29
2699,8,29,7
2707,4,7,11
2711,2,11,13
2713,6,13,19
2719,10,19,29
2729,2,29,1
2731,10,1,11
2741,8,11,19
2749,4,19,23
2753,14,23,7
2767,10,7,17
2777,12,17,29
2789,2,29,1
